index,x,y,z
10,"[-1.559082, -0.3615723, 0.6989746, 0.5422363, -1.38501, -0.7866211, 0.1699219, 0.21875, 0.1318359, -1.984375, -0.2241211, 1.999939, -0.3598633, 0.08251953, -1.216797, -0.08105469, 1.831055, -1.984375, -1.022949, -1.070557, 0.4946289, 0.9538574, 1.449951, 1.112061]","[-0.2788086, -0.8701172, -0.8544922, -0.6416016, -0.5273438, -0.7539063, -0.7636719, -0.8879395, -0.5910645, -0.3879395, -0.6914063, -1.429199, -1.045166, -0.6330566, -0.5219727, -0.7407227, -1.236328, -0.7331543, -0.286377, -0.5891113, -1.035645, 0.09545898, 0.05859375, -0.01611328]","[0.2963867, -0.6733398, -0.7214355, -0.7312012, -0.9111328, -0.6196289, -0.4274902, -0.5654297, -0.8034668, -0.9736328, -0.4914551, 1.066406, -1.984375, -0.8376465, -0.8054199, -0.6020508, 0.6594238, -1.984375, -1.208252, -0.8349609, -0.3408203, -0.09008789, -0.3837891, -0.1079102]"
11,"[-0.3842773, -1.984375, -1.076904, -1.656982, -0.6044922, 0.2167969, 1.378418, -1.984375, -0.3745117, 1.03418, -1.984375, -1.310791, -1.137939, -0.6347656, 1.999939, -0.7990723, -1.105469, -1.382813, -0.07568359, 1.365967, -0.1516113, 1.005615, 1.081543, 0.9729004]","[-0.5649414, -0.423584, -0.5913086, -0.486084, -0.7519531, -0.7226563, -0.6899414, -0.3222656, -0.7006836, -0.8945313, -1.780273, -0.3598633, -0.3710938, -0.7780762, -1.162109, -1.128906, -0.3398438, -0.3999023, -0.7583008, -1.098877, -0.4709473, 0.1425781, -0.005859375, -0.02636719]","[-0.390625, -1.712402, -0.4257813, -0.392334, -0.5134277, -0.4367676, -0.08984375, -0.8376465, -0.5463867, -0.08544922, 0.3095703, -1.133057, -0.9655762, -0.6240234, 0.3708496, -1.984375, -0.8034668, -0.7241211, -0.5930176, 0.1118164, 0.4855957, -0.5510254, -0.1762695, -0.1130371]"
12,"[-1.258301, 1.492188, 0.5358887, -1.984375, -0.9267578, -0.2893066, 1.999939, -1.984375, -1.638916, -0.505127, -0.378418, 1.999939, 0.7353516, -1.893799, -0.7231445, 0.7895508, 0.3867188, 1.266602, -1.519287, -0.2338867, 1.835693, 0.276123, 0.3776855, -1.679199, 0.6616211, 0.9797363, 1.107422]","[-0.1689453, -1.015381, -0.765625, -0.138916, -0.5112305, -0.8098145, -1.169189, -1.984375, -0.2529297, -0.7456055, -0.7094727, -0.6794434, -1.984375, -0.1013184, -0.5185547, -0.828125, -0.9082031, -0.9575195, -0.1181641, -0.5866699, -1.146973, -0.9682617, -0.7419434, -0.03198242, -0.08227539, 0.07836914, -0.02807617]","[-0.5131836, -0.3989258, -0.8647461, -0.989502, -0.4719238, -0.7436523, 0.1867676, 0.1818848, -0.8005371, -0.592041, -0.612793, 0.5244141, -1.984375, -0.6494141, -0.5803223, -0.4223633, -0.7937012, -1.06958, -0.7026367, -0.548584, 0.3295898, -0.713623, -1.052002, -0.8447266, -0.5847168, -0.005615234, -0.1066895]"
13,"[1.522705, -0.5195313, -0.546875, 1.080566, 1.999939, -1.761475, -1.328369, -0.8007813, 1.944092, -0.5913086, -1.984375, -0.2929688, 0.2072754, -1.07666, -1.984375, -0.8540039, -0.3063965, 1.77124, -1.931396, 0.744873, 1.059326, 0.9299316, 1.103271]","[0.09667969, -0.4716797, -0.8623047, -0.8688965, -1.984375, -0.3188477, -0.5361328, -0.8637695, -1.064941, 0.5976563, -0.2565918, -0.8217773, -1.019531, -1.564453, -0.4780273, -0.6896973, -0.861084, -0.847168, -0.1040039, -0.793457, -0.1296387, -0.09863281, -0.03027344]","[-0.2888184, -0.006591797, -0.4987793, 0.4230957, -1.984375, -0.5217285, -0.7094727, -0.4121094, 0.4455566, -1.984375, -0.3950195, -0.1921387, 0.1464844, -1.138672, -0.6894531, -0.5080566, -0.2443848, -0.1218262, -0.7409668, -0.3955078, -0.7861328, 0.02270508, -0.1159668]"
14,"[0.6901855, 1.034912, 0.9519043, 0.8598633, 0.3564453, 0.4768066, 0.3010254, 0.7524414, 0.7927246, 0.6713867, 0.4975586, 0.07421875, -0.1210938, 0.7927246, -0.01708984, 0.7880859, 0.630127, -1.142822, -0.08325195, 0.4399414, -0.3635254, -0.7355957, 0.3232422, -0.2614746, -0.6533203, -0.03686523, 0.142334, 0.1726074, 0.4172363, 0.5925293, 1.148438, 0.578125, 0.5688477, 0.4692383, -0.0004882813, 0.1794434, 0.171875, 0.1367188, 0.6599121, 1.096191, 0.2438965, 0.248291, 0.3547363, 0.2973633, 0.3071289, 0.314209, 0.2963867, 0.5092773, 0.4121094, 0.3991699, 0.8010254, 1.09375, 1.141357]","[-0.197998, -0.4101563, -0.4570313, -0.4411621, -0.4521484, -0.4743652, -0.4848633, -0.612793, -0.7143555, -0.6674805, -0.8747559, -0.8383789, -0.8195801, -1.936279, -1.182129, -0.7856445, -0.8815918, -0.4904785, -1.176514, -0.8989258, -0.7658691, -0.767334, -0.9755859, -0.9111328, -0.9316406, -1.05249, -0.9667969, -0.8186035, -0.7824707, -0.5246582, -0.2375488, -0.6074219, -0.904541, -0.7446289, -0.7922363, -0.892334, -0.9191895, -0.8537598, -0.546875, -0.690918, -0.6655273, -0.8525391, -0.9331055, -0.9172363, -0.9318848, -0.9152832, -0.9204102, -0.9199219, -0.8527832, -0.6887207, -0.5595703, -0.2490234, -0.01147461]","[-0.4462891, 0.1206055, -0.1914063, -0.6765137, -0.8547363, -0.8200684, -0.7878418, -0.7043457, -0.8874512, -0.7023926, -0.8745117, -0.2180176, 0.2182617, -0.4287109, 0.1992188, 0.5739746, 0.2299805, -0.07299805, 0.1894531, 0.2114258, -0.1503906, 0.1745605, 0.189209, -0.2802734, 0.02197266, 0.1520996, 0.2084961, 0.05102539, -0.8552246, -1.009766, -1.223145, -0.5187988, -0.6713867, -0.638916, -0.5371094, -0.309082, -0.4477539, -0.4389648, -0.3359375, -0.6132813, -0.2587891, -0.2521973, -0.4128418, -0.3911133, -0.3681641, -0.3515625, -0.3891602, -0.390625, -0.439209, -0.2714844, -0.4382324, -0.3666992, 0.07275391]"
15,"[1.109863, 1.188477, -1.984375, -1.838623, 0.09399414, 1.763428, -1.444092, -0.8684082, 0.2756348, 0.04443359, -0.2304688, -1.847168, -0.3852539, -0.0793457, 0.8691406, 0.6381836, -1.967041, -1.533203, -0.01367188, 1.605225, 0.880127, 1.112305]","[-0.02050781, 0.003417969, -1.984375, -0.3669434, -0.8708496, -0.7946777, -0.237793, -0.604248, -0.7199707, -1.098633, -0.3996582, -0.2768555, -0.5959473, -0.6928711, -0.652832, -0.6120605, -0.078125, -0.3144531, -0.9794922, 0.1552734, 0.03955078, -0.0246582]","[-0.1147461, -0.2333984, -1.984375, -0.3007813, -0.6779785, -0.09716797, -0.8278809, -0.8867188, -0.4836426, -0.3754883, -0.746582, -0.9445801, -0.876709, -0.5449219, -0.5776367, -0.982666, -0.8474121, -1.001953, 0.02905273, -0.2932129, 0.06494141, -0.1037598]"
16,"[0.1665039, 1.999939, -1.270996, 0.2067871, 1.999939, -1.606934, -1.089355, -1.629639, 0.3828125, 1.999939, -1.984375, -1.359375, -1.517822, 0.05053711, 1.999939, 1.999939, -1.846191, -0.8686523, -0.015625, 0.5358887, -0.237793, -1.984375, 0.1223145, 1.999939, -0.409668, 1.605469, 1.050781, 1.109619]","[-0.1828613, 1.999939, -0.6159668, -0.8149414, -1.388428, -1.984375, -0.4575195, -0.5839844, -0.9118652, -0.902832, -1.188477, -0.237793, -0.4904785, -0.8112793, -0.7248535, 0.479248, -0.2734375, -0.4858398, -0.8117676, -0.7443848, -0.3435059, -0.2260742, -0.7033691, -1.009521, -0.6628418, -0.09277344, -0.06347656, -0.02636719]","[-0.4594727, -1.984375, -0.3955078, -0.4228516, 0.9633789, -0.3713379, -0.5549316, -0.9641113, -0.2509766, 0.6289063, -1.984375, -0.9428711, -0.9423828, -0.2458496, 0.2558594, 1.999939, -0.8476563, -0.9995117, -0.5463867, 0.4729004, -0.7717285, -0.8029785, -0.6154785, 0.07543945, 0.1147461, -0.2143555, -0.1330566, -0.1137695]"
17,"[0.9853516, -0.2072754, -0.1843262, 1.791748, 0.9387207, -1.989258, -1.062988, -0.05810547, 1.224609, 0.2355957, -1.965088, -0.08935547, -0.559082, -0.8007813, -1.049805, -1.945557, -0.2402344, 1.999939, -1.984375, -1.5271, 1.999939, 1.729248, 1.104736]","[-0.2658691, -0.8254395, -0.8874512, -1.486816, -0.8525391, -0.3891602, -0.7346191, -0.8552246, -0.6125488, -0.6064453, -0.3813477, -0.7705078, -0.7141113, -1.657959, -0.2148438, -0.1418457, -0.7529297, -1.49585, -1.984375, -0.484375, 0.02148438, 0.1159668, -0.02880859]","[-0.5939941, -0.3181152, -0.5195313, 0.5947266, -0.9094238, -0.8005371, -0.7536621, -0.6430664, -0.322998, -0.7272949, -0.878418, -0.6704102, -0.4609375, -1.984375, -0.8464355, -0.984375, -0.4626465, 0.1662598, -1.984375, -0.2084961, -0.3183594, -0.173584, -0.1091309]"
18,"[-0.1467285, 1.999939, -1.984375, -0.9414063, -0.3146973, 0.2312012, 0.6469727, -1.984375, -1.380371, -0.2229004, 0.5073242, 0.6120605, -1.984375, -0.3398438, 0.6713867, 1.999939, -1.984375, -0.4353027, 0.6623535, 0.732666, 1.172119]","[-0.3234863, -1.984375, -0.2438965, -0.6196289, -0.6525879, -1.429932, -0.5546875, -0.2402344, -0.4560547, -0.734375, -0.9301758, -0.6538086, -0.02905273, -0.7590332, -0.8183594, -1.984375, 0.08276367, -0.5461426, -0.902832, -0.3144531, -0.02319336]","[-0.637207, 1.999939, -0.6008301, -0.4914551, -0.4592285, -0.3977051, -0.675293, -0.8088379, -0.6574707, -0.5654297, -0.8486328, -0.7319336, -0.7561035, -0.5275879, -0.1665039, -1.984375, -0.6157227, -0.7072754, 0.06640625, -0.8200684, -0.2028809]"
19,"[-0.07299805, -0.9418945, -1.179688, -0.5559082, -1.058838, -0.354248, 1.306641, -0.3486328, -1.984375, -1.984375, 0.2148438, 0.4284668, 1.999939, -1.984375, -1.530273, 1.916748, 1.999939, 1.101318]","[-0.5029297, -0.5031738, -0.7104492, -0.7077637, -0.7272949, -1.031738, -0.9133301, -0.4606934, -0.4345703, -0.3945313, -0.9692383, -0.8149414, -1.378662, -1.984375, -0.3979492, -0.6787109, -0.8752441, 0.0246582]","[-0.4709473, -0.2199707, -0.4416504, -0.6520996, -1.138672, -0.7861328, -0.3554688, -0.637207, -0.6125488, -0.9379883, -0.3630371, -0.3701172, 0.9145508, -0.9418945, -0.4189453, -0.5715332, -1.984375, -0.1325684]"
20,"[-0.546875, -0.3723145, 0.482666, 1.453613, -0.4399414, -1.528809, -1.546875, -0.9008789, -0.4240723, 1.999939, -1.984375, -0.07592773, -1.356689, -1.687744, -0.6713867, -0.1403809, 1.999939, -0.951416, -0.2775879, 0.6276855, 1.112061]","[-0.6140137, -0.9516602, -0.8486328, -0.8605957, -0.6442871, -0.4116211, -0.4567871, -0.5324707, -0.8547363, -1.193848, -1.688477, -0.8466797, -0.4016113, -0.3933105, -0.7009277, -0.8461914, -1.697998, -0.7402344, -0.03442383, 0.06494141, -0.03051758]","[-0.557373, -0.4780273, -0.4543457, -1.036377, -0.6208496, -0.6513672, -0.4816895, -0.2727051, -0.4204102, 0.02441406, -1.984375, -0.6967773, -0.4262695, -0.4797363, -0.1542969, -0.3071289, 0.564209, -0.5598145, -0.5385742, -0.1762695, -0.09790039]"
