index,x,y,z

0,[],[],[]
10,"[1.159424, 0.7302246, -0.935791, 0.1745605, 1.398682, 0.9621582, -0.7419434, -0.7797852, 0.409668, 1.186768, -0.3439941, 0.815918, -0.7700195, -0.8210449, -0.05419922, 0.6833496, 1.072266, 1.101563]","[-0.08496094, -0.5534668, -0.6320801, -0.8579102, -0.7832031, -1.236328, -0.5554199, -0.628418, -0.7402344, -0.6396484, -0.685791, -0.815918, -0.4741211, -0.4914551, -0.6989746, -1.072998, -0.4985352, -0.01660156]","[-0.4050293, -0.7402344, -0.642334, -0.4943848, -0.2624512, -0.4536133, -0.8398438, -0.8688965, -0.5036621, -0.5136719, -0.7199707, -0.2814941, -0.9289551, -1.080566, -0.6496582, 0.06713867, -0.5712891, -0.01123047]"

11,"[0.5258789, -0.4841309, 0.7971191, 0.2697754, -0.1088867, 1.106445, 0.4331055, 0.9831543, 0.9101563, -0.7446289, -0.8132324, 0.6066895, -0.5559082, -0.3349609, 0.2194824, 1.438232, 1.003906, 1.060303, 1.117188]","[-0.4553223, -0.734375, -0.8381348, -1.752686, -0.5993652, -0.03833008, -0.7172852, -1.261963, -0.871582, -0.4790039, -0.6005859, -0.7109375, -0.5112305, -0.5432129, -0.6047363, -0.3718262, -0.06054688, -0.05639648, -0.04150391]","[-0.4914551, -0.6591797, -0.3039551, 0.2231445, -0.9177246, -0.001464844, -0.3164063, -0.1225586, -0.4504395, -0.982666, -0.958252, -0.3518066, -0.9245605, -0.9602051, -0.4836426, -0.3649902, -0.08935547, 0.03515625, 0.01000977]"

12,"[0.5598145, 0.5065918, -0.3999023, -0.6494141, 0.456543, 0.1696777, 0.5068359, 1.114258, -1.07959, 1.23999, 0.6030273, 0.3193359, -0.9338379, -0.5571289, 0.4521484, -0.6335449, 1.112061]","[-0.3439941, -0.4309082, -0.7387695, -0.7521973, -0.8518066, -0.689209, -0.7514648, -0.4990234, -0.5556641, -1.078857, -1.864014, -0.6064453, -0.5036621, -0.6516113, -0.7443848, -0.5869141, -0.03344727]","[-0.5900879, -0.2370605, -0.8457031, -0.6401367, -0.484375, -0.7944336, -0.3781738, -0.1948242, -1.068848, -0.08862305, 0.854248, -0.8300781, -1.166992, -0.7624512, -0.3847656, -0.9082031, 0.001708984]"

13,"[0.8505859, -0.006591797, 0.8774414, -0.151123, 1.40918, 1.999939, -0.7268066, -0.0534668, 1.347656, 1.999939, -0.4538574, -0.9680176, -0.1105957, 0.909668, 0.2475586, 1.131348, 1.345947, 1.07959]","[-0.2373047, -1.242432, -0.786377, -0.5805664, -0.6728516, -1.984375, -0.611084, -0.6882324, -0.3857422, -0.1254883, -0.5446777, -0.5097656, -0.6843262, -0.6811523, -0.7165527, -0.4863281, -0.1782227, -0.01171875]","[-0.3688965, -0.7043457, -0.3879395, -0.8066406, -0.1550293, 1.999939, -0.9016113, -0.6013184, -0.07006836, -0.9968262, -0.8891602, -0.9626465, -0.5939941, -0.3547363, -0.4001465, -0.447998, -0.09838867, -0.01318359]"

14,"[0.2143555, 0.7805176, 0.9958496, -0.6123047, -0.8830566, 0.5012207, 1.356689, 1.999939, -0.3352051, -0.935791, -0.3825684, 0.6018066, 1.411865, 1.999939, 1.314697, 0.7609863, -0.08178711, 0.1264648, 1.084229, 1.068359, 1.024658]","[-0.5041504, -0.755127, -0.927002, -0.5895996, -0.7299805, -0.7873535, -0.6142578, -0.1074219, -0.6557617, -0.6643066, -0.7890625, -0.7924805, -0.7424316, 1.999939, -0.6103516, -0.6896973, -0.6374512, -0.7956543, -0.8442383, -0.2128906, -0.0300293]","[-0.3088379, -0.3828125, -0.5070801, -0.8942871, -0.8696289, -0.3417969, -0.2849121, -0.765625, -0.8283691, -0.8449707, -0.5605469, -0.2539063, 0.02905273, -1.984375, -0.317627, -0.5097656, -0.8186035, -0.4780273, -0.1274414, -0.2612305, 0.03344727]"

15,"[0.5927734, -0.7558594, -0.0324707, 1.080078, -0.3862305, -0.8476563, -0.1745605, 0.1403809, 0.8034668, 0.8112793, 0.1525879, -1.082275, -0.1149902, 0.4819336, 0.5795898, 1.000244, 1.071533, 1.114746]","[-0.361084, -0.6955566, -0.8393555, -1.132813, -0.5444336, -0.6350098, -0.7524414, -0.7365723, -1.190918, -0.9199219, -1.115479, -0.517334, -0.6989746, -0.6289063, -0.3615723, -0.07495117, -0.05957031, -0.04492188]","[-0.4660645, -0.5751953, -0.5693359, -0.1638184, -0.9904785, -0.9089355, -0.5791016, -0.5332031, -0.08178711, -0.9694824, -1.326172, -1.003174, -0.7175293, -0.3896484, -0.7077637, -0.1855469, -0.02172852, 0.001953125]"

