index,x,y,z
10,"[1.044678, 0.5495605, 0.2485352, 0.03076172, -0.2214355, -0.1831055, -0.3139648, -0.2883301, -0.1723633, -0.2192383, -0.2412109, -0.2773438, -0.1740723, -0.2092285, -0.2058105, -0.185791, 0.03881836, -0.04370117, 0.4633789, 0.5288086, 0.9072266, 1.029297, 1.16626, 1.192627, 1.117676]","[-0.5651855, -0.7478027, -0.8571777, -0.9064941, -0.8881836, -0.864502, -0.8417969, -0.8161621, -0.8942871, -0.8657227, -0.904541, -0.8959961, -0.9162598, -0.9060059, -0.8666992, -0.8815918, -0.8740234, -0.9165039, -0.927002, -0.8798828, -0.7243652, -0.6120605, -0.2446289, -0.1557617, -0.06469727]","[-0.008544922, -0.02685547, 0.05444336, 0.02832031, 0.0, 0.3173828, 0.3232422, 0.3398438, 0.3623047, 0.3540039, 0.2421875, 0.2739258, 0.3769531, 0.3383789, 0.3354492, 0.2490234, 0.3815918, 0.1303711, 0.2314453, 0.01220703, -0.0004882813, -0.08618164, -0.1367188, -0.1047363, -0.0769043]"
11,"[1.11499, 0.1035156, 0.04711914, -0.1091309, -0.1611328, -0.07055664, -0.2961426, -0.1430664, -0.2185059, -0.2468262, -0.1755371, -0.1811523, -0.2609863, -0.2265625, -0.1943359, 0.01538086, 0.06713867, 0.5605469, 0.6555176, 0.9055176, 0.9733887, 1.161621, 1.076172, 1.198486, 1.01709, 1.068115, 1.030273, 1.249512, 1.050293]","[-0.4848633, -0.9179688, -0.9294434, -0.9116211, -0.9138184, -0.9711914, -0.8972168, -0.9694824, -0.9306641, -0.8989258, -0.9389648, -0.9282227, -0.9262695, -0.8789063, -0.8671875, -0.8303223, -0.8740234, -0.942627, -0.8417969, -0.7006836, -0.5505371, -0.4487305, -0.04663086, 0.0871582, 0.3833008, 0.3862305, 0.3222656, 0.06762695, -0.08691406]","[-0.1262207, 0.08544922, 0.0480957, 0.197998, 0.1523438, 0.2143555, 0.2355957, 0.2089844, 0.260498, 0.2475586, 0.3259277, 0.3034668, 0.2297363, 0.2619629, 0.262207, 0.2246094, 0.05664063, -0.07275391, -0.2104492, -0.2089844, -0.2202148, -0.09350586, -0.2470703, -0.1247559, -0.1513672, -0.1384277, -0.157959, -0.1015625, 0.08007813]"
12,"[0.9470215, 0.4309082, 0.2509766, 0.08520508, 0.06860352, -0.01074219, -0.06787109, -0.1184082, -0.08862305, -0.09472656, -0.1142578, -0.197998, -0.157959, -0.1738281, -0.1066895, -0.1489258, -0.1669922, -0.05444336, -0.008056641, 0.3833008, 0.3088379, 0.8220215, 0.7275391, 1.216309, 1.191406, 1.246826, 1.134521, 1.078125, 1.057373, 1.085938]","[-0.692627, -0.7939453, -0.9240723, -0.8981934, -0.9765625, -0.9257813, -0.9228516, -0.9377441, -0.9614258, -0.9765625, -0.9602051, -0.9399414, -0.9521484, -0.921875, -0.9489746, -0.9423828, -0.9204102, -0.9035645, -0.8532715, -1.007568, -0.861084, -0.8037109, -0.5292969, -0.3295898, -0.07055664, 0.3283691, 0.3686523, -0.1330566, 0.01196289, 0.05200195]","[0.015625, 0.04174805, 0.06152344, 0.1384277, 0.2507324, 0.2094727, 0.2595215, 0.253418, 0.2451172, 0.2888184, 0.2907715, 0.2431641, 0.25, 0.2126465, 0.2370605, 0.2607422, 0.1899414, 0.2875977, 0.2202148, 0.1826172, -0.009521484, -0.02075195, -0.2148438, -0.2165527, -0.2705078, -0.2910156, -0.2077637, 0.03393555, -0.1140137, -0.09545898]"
13,"[1.09375, 0.1945801, -0.1740723, -0.03930664, -0.1264648, -0.06201172, -0.02172852, -0.1901855, -0.1142578, -0.1203613, -0.1828613, -0.08886719, -0.1118164, -0.1550293, -0.3137207, 0.006103516, 0.08081055, 0.4804688, 0.9711914, 1.23877, 1.166748, 1.181152, 1.162842, 1.194092, 1.088623]","[-0.5236816, -0.7399902, -0.8796387, -0.9404297, -0.9448242, -0.9912109, -0.9941406, -0.9472656, -0.9631348, -0.9733887, -0.9484863, -0.9934082, -0.9682617, -0.9436035, -0.871582, -0.885498, -0.8449707, -0.8278809, -0.6096191, -0.4736328, -0.2224121, 0.0004882813, -0.01611328, -0.1748047, -0.09790039]","[-0.08520508, -0.05664063, 0.1791992, 0.1574707, 0.1748047, 0.2233887, 0.2714844, 0.1047363, 0.1484375, 0.1499023, 0.171875, 0.2277832, 0.154541, 0.152832, 0.128418, 0.1013184, 0.08129883, 0.02124023, 0.005371094, -0.09008789, -0.262207, -0.09838867, -0.2307129, -0.02441406, 0.01879883]"
14,"[0.9970703, 0.6350098, 0.2814941, 0.0078125, -0.1799316, -0.2229004, -0.1767578, -0.161377, -0.161377, -0.1726074, -0.2077637, -0.2817383, -0.2961426, -0.2736816, -0.2624512, -0.2705078, -0.1193848, 0.1616211, 0.3186035, 1.262207, 1.232422, 1.051758, 1.025879, 0.9797363, 0.8991699, 1.005859]","[-0.5488281, -0.7995605, -0.8503418, -0.9177246, -0.8203125, -0.9558105, -0.8955078, -0.9069824, -0.9389648, -0.9370117, -0.934082, -0.9121094, -0.9038086, -0.909668, -0.9309082, -0.8459473, -0.8078613, -0.8029785, -0.6638184, -0.4992676, -0.286377, 0.009765625, 0.439209, 0.4858398, 0.01953125, 0.02783203]","[-0.1494141, 0.04223633, 0.07788086, 0.07006836, 0.173584, 0.236084, 0.1665039, 0.3242188, 0.2565918, 0.2084961, 0.2607422, 0.2194824, 0.1674805, 0.220459, 0.2182617, 0.2897949, 0.3037109, 0.1809082, -0.09838867, -0.0534668, -0.1083984, -0.1228027, -0.0168457, -0.09204102, -0.03295898, -0.1220703]"
15,"[0.8549805, 0.3056641, 0.2272949, 0.6308594, 0.0871582, 0.2536621, -0.07324219, 0.1113281, 0.04736328, -0.2626953, -0.3435059, -0.3029785, -0.3774414, -0.3344727, -0.3088379, -0.302002, -0.2890625, -0.2912598, -0.07348633, 0.2163086, 0.1975098, 0.8635254, 1.068848, 1.130127, 1.060059, 1.120361, 0.9116211, 1.04541, 1.12793]","[-0.6367188, -0.7431641, -0.798584, -0.7868652, -0.8981934, -0.9628906, -0.9968262, -0.9387207, -0.9277344, -0.9101563, -0.9067383, -0.8962402, -0.8547363, -0.8640137, -0.894043, -0.8654785, -0.8525391, -0.8256836, -0.9255371, -0.9257813, -0.715332, -0.6171875, -0.309082, -0.01293945, 0.4755859, 0.2893066, 0.0559082, 0.1193848, -0.04077148]","[-0.01342773, -0.09594727, -0.1567383, -0.08520508, 0.2509766, 0.09863281, 0.0690918, 0.1333008, 0.1418457, 0.1447754, 0.2268066, 0.189209, 0.2270508, 0.2583008, 0.324707, 0.2687988, 0.267334, 0.2727051, 0.2160645, 0.192627, -0.015625, 0.07641602, -0.2661133, -0.2995605, -0.09521484, -0.177002, -0.1455078, -0.1582031, -0.04980469]"
16,"[1.316406, 0.8046875, 0.6289063, 0.3017578, 0.08496094, 0.07226563, 0.1252441, -0.01782227, -0.1789551, -0.05371094, -0.02954102, -0.1599121, -0.2724609, -0.09033203, -0.1079102, -0.07739258, -0.1062012, -0.2375488, 0.1472168, 0.6694336, 1.289063, 1.124023, 1.046631, 1.169189, 1.069336, 1.054688, 0.9528809, 1.102051, 0.847168, 1.057617]","[-0.2773438, -0.5310059, -0.6828613, -0.8713379, -0.8244629, -0.9462891, -0.9799805, -0.9709473, -0.9782715, -0.949707, -0.9797363, -0.9631348, -0.9470215, -0.9758301, -0.9641113, -0.9729004, -0.940918, -0.8149414, -0.8178711, -0.720459, -0.5476074, -0.2902832, -0.02197266, 0.1633301, 0.3703613, 0.5217285, 0.630127, 0.6054688, 0.07910156, 0.1398926]","[-0.2314453, -0.1196289, 0.04199219, 0.03857422, 0.123291, 0.4191895, 0.34375, 0.06518555, 0.1501465, 0.1884766, 0.1984863, 0.2070313, 0.1855469, 0.2636719, 0.1992188, 0.2250977, 0.1994629, 0.1599121, 0.1494141, 0.2248535, 0.0222168, -0.01391602, -0.128418, 0.02929688, -0.02685547, -0.006103516, -0.06616211, -0.09936523, -0.04711914, -0.08374023]"
17,"[1.499268, 1.100098, 0.1594238, -0.1264648, -0.1018066, -0.09692383, -0.01635742, -0.01953125, 0.02368164, 0.03588867, 0.04077148, -0.0168457, -0.01806641, 0.04370117, 0.08398438, 0.3156738, 0.6496582, 1.186523, 1.23877, 1.162842, 1.095215, 1.106689]","[-0.2800293, -0.434082, -0.8852539, -0.8676758, -0.9121094, -0.9790039, -0.9694824, -0.9807129, -1.012451, -0.9846191, -0.9975586, -0.9980469, -0.9799805, -0.9438477, -0.847168, -0.8154297, -0.7104492, -0.2653809, -0.1574707, 0.1645508, -0.05932617, -0.07592773]","[-0.02514648, -0.1811523, 0.1005859, 0.1311035, 0.1757813, 0.2504883, 0.2319336, 0.197998, 0.2443848, 0.2429199, 0.251709, 0.2060547, 0.2512207, 0.2612305, 0.1618652, 0.1938477, -0.1066895, -0.2209473, -0.109375, -0.2644043, -0.07641602, -0.08569336]"
18,"[1.36084, 0.7365723, 0.3330078, 0.4094238, 0.1442871, -0.06420898, 0.01953125, -0.03662109, -0.06811523, -0.06298828, -0.09472656, -0.08325195, -0.02758789, -0.09008789, -0.1333008, -0.1403809, -0.1506348, -0.08984375, -0.1010742, 0.08740234, 0.05810547, 0.1467285, 1.155518, 1.341309, 1.056152]","[-0.3823242, -0.5175781, -0.7902832, -0.9272461, -0.9177246, -0.9609375, -0.9538574, -0.9562988, -1.012695, -0.953125, -0.9667969, -0.9753418, -0.9533691, -0.9743652, -0.9663086, -0.970459, -0.9333496, -0.9853516, -0.9504395, -0.9284668, -0.7346191, -0.7592773, -0.4882813, -0.185791, -0.08349609]","[-0.1989746, -0.01489258, 0.1743164, 0.1784668, 0.300293, 0.2172852, 0.1350098, 0.2050781, 0.2800293, 0.2280273, 0.2519531, 0.2302246, 0.2661133, 0.2004395, 0.2006836, 0.2287598, 0.1987305, 0.1765137, 0.168457, 0.1721191, 0.05297852, -0.006835938, -0.1489258, 0.01660156, -0.1455078]"
19,"[0.9873047, 0.5751953, 0.08837891, -0.02709961, -0.06445313, 0.08447266, 0.03710938, -0.03930664, -0.08447266, -0.09790039, -0.1413574, -0.1586914, -0.1313477, 0.01416016, -0.003662109, -0.0847168, -0.02978516, 0.0480957, 0.1904297, 0.4262695, 0.3535156, 0.5175781, 0.8195801, 0.9187012, 1.052734, 0.9467773, 1.118652, 1.112549]","[-0.4628906, -0.7097168, -0.8725586, -0.8703613, -0.9152832, -0.9538574, -0.9296875, -0.9873047, -0.9714355, -0.9682617, -0.956543, -0.9707031, -0.9919434, -0.9785156, -0.958252, -0.9519043, -0.9616699, -0.9453125, -1.002197, -0.9294434, -0.8984375, -0.8200684, -0.765625, -0.6862793, -0.5119629, -0.362793, -0.09643555, -0.09301758]","[-0.1311035, -0.1313477, -0.0637207, 0.1860352, 0.2062988, 0.2434082, 0.2414551, 0.1723633, 0.1555176, 0.2336426, 0.1403809, 0.1325684, 0.2087402, 0.2416992, 0.2565918, 0.1791992, 0.1589355, 0.2380371, 0.1054688, 0.1721191, 0.03295898, -0.001708984, 0.08984375, -0.05932617, -0.03588867, -0.07055664, -0.1118164, -0.0703125]"
